klas_Id-Length_w	klas_Id-Length_i	klas_STW_w	klas_STW_i	klas_*VVC_w	klas_*VVC_i	en_Id-Length_w	en_Id-Length_i	en_STW_w	en_STW_i	en_*VVC_w	en_*VVC_i	kip_Id-Length_w	kip_Id-Length_i	kip_STW_w	kip_STW_i	kip_*VVC_w	kip_*VVC_i	baas_Id-Length_w	baas_Id-Length_i	baas_STW_w	baas_STW_i	baas_*VVC_w	baas_*VVC_i	poot_Id-Length_w	poot_Id-Length_i	poot_STW_w	poot_STW_i	poot_*VVC_w	poot_*VVC_i	glas_Id-Length_w	glas_Id-Length_i	glas_STW_w	glas_STW_i	glas_*VVC_w	glas_*VVC_i	slot_Id-Length_w	slot_Id-Length_i	slot_STW_w	slot_STW_i	slot_*VVC_w	slot_*VVC_i
2.0299999999999994	7	0	0	0	0	0	0	2.0599999999999987	8	0	0	2.139999999999997	5	0	0	2.659999999999986	1	2.4399999999999906	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.1599999999999966	6	2.659999999999986	1	1.1099999999999992	1	2.4899999999999896	2	2.659999999999986	1
2.1599999999999966	5	0	0	0	0	0	0	2.049999999999999	8	0	0	2.1599999999999966	5	0	0	2.6699999999999857	1	2.4499999999999904	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.1699999999999964	6	2.6699999999999857	1	1.1099999999999992	1	2.4899999999999896	2	2.6699999999999857	1
2.189999999999996	5	0	0	0	0	0	0	2.0799999999999983	8	0	0	2.189999999999996	5	0	0	2.6899999999999853	1	2.4499999999999904	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.179999999999996	6	2.6899999999999853	1	1.0799999999999992	1	2.519999999999989	2	2.6899999999999853	1
2.2099999999999955	5	0	0	0	0	0	0	2.0799999999999983	8	0	0	2.2099999999999955	5	0	0	2.709999999999985	1	2.4499999999999904	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.139999999999997	3	2.0	4	1.0599999999999992	1	2.5399999999999885	2	2.709999999999985	1
2.2699999999999942	5	0	0	0	0	1.0599999999999992	1	2.0199999999999996	8	0	0	2.2699999999999942	4	0	0	2.709999999999985	1	2.4499999999999904	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.139999999999997	3	2.0	4	1.0599999999999992	1	2.5399999999999885	2	2.709999999999985	1
2.2699999999999942	5	0	0	0	0	1.0299999999999991	1	2.1099999999999977	5	0	0	2.279999999999994	4	0	0	2.709999999999985	1	2.4499999999999904	2	0	0	0	0	0	0	2.039999999999999	9	0	0	0	0	2.1699999999999964	6	2.01	4	1.0299999999999991	1	2.5399999999999885	2	2.709999999999985	1
2.279999999999994	5	0	0	0	0	1.0399999999999991	1	2.099999999999998	5	0	0	2.279999999999994	4	0	0	2.709999999999985	1	2.4499999999999904	2	0	0	0	0	0	0	2.049999999999999	8	0	0	0	0	2.1699999999999964	6	2.01	4	1.0399999999999991	1	2.5399999999999885	2	2.709999999999985	1
2.289999999999994	5	0	0	0	0	1.0199999999999991	1	2.1199999999999974	5	0	0	2.279999999999994	4	0	0	2.7199999999999847	1	2.4499999999999904	2	0	0	0	0	0	0	2.049999999999999	8	0	0	0	0	2.179999999999996	6	2.01	4	1.0199999999999991	1	2.5399999999999885	2	2.7199999999999847	1
2.289999999999994	5	0	0	0	0	0.9799999999999991	1	2.1699999999999964	3	0	0	2.279999999999994	4	0	0	2.7199999999999847	1	2.4499999999999904	2	0	0	0	0	0	0	2.049999999999999	8	0	0	0	0	2.1599999999999966	6	2.0299999999999994	4	0.9799999999999991	1	2.0	10	2.7199999999999847	1
2.289999999999994	5	0	0	0	0	0	0	2.1699999999999964	6	0	0	2.289999999999994	4	0	0	2.7299999999999844	1	2.4499999999999904	2	0	0	0	0	0	0	2.049999999999999	8	0	0	0	0	2.1699999999999964	6	2.0299999999999994	4	0	0	2.0199999999999996	10	2.7299999999999844	1
2.289999999999994	5	0	0	0	0	0	0	2.1599999999999966	6	0	0	2.319999999999993	4	0	0	2.7299999999999844	1	2.4499999999999904	2	0	0	0	0	0	0	2.049999999999999	8	0	0	0	0	2.1599999999999966	6	2.0299999999999994	4	0	0	2.0199999999999996	10	2.7299999999999844	1
2.289999999999994	5	0	0	0	0	0	0	2.1699999999999964	6	0	0	2.329999999999993	4	0	0	2.7299999999999844	1	2.4499999999999904	2	0	0	0	0	0	0	2.0599999999999987	8	0	0	0	0	2.1699999999999964	6	2.0299999999999994	4	0	0	2.0199999999999996	10	2.7299999999999844	1
2.289999999999994	5	0	0	0	0	0	0	2.1599999999999966	6	0	0	2.45999999999999	2	0	0	2.7299999999999844	1	2.45999999999999	2	0	0	0	0	0	0	2.0599999999999987	8	0	0	0	0	2.1599999999999966	6	2.0299999999999994	4	0	0	2.0299999999999994	10	2.7299999999999844	1
2.3099999999999934	5	0	0	0	0	0	0	2.1599999999999966	6	0	0	2.46999999999999	2	0	0	2.7299999999999844	1	2.46999999999999	2	0	0	0	0	0	0	2.0599999999999987	8	0	0	0	0	2.1599999999999966	6	2.0299999999999994	4	0	0	2.0599999999999987	10	2.7299999999999844	1
2.3399999999999928	4	0	0	0	0	0	0	2.149999999999997	6	0	0	2.4799999999999898	2	0	0	2.7399999999999842	1	2.4799999999999898	2	0	0	0	0	0	0	2.0599999999999987	8	0	0	0	0	2.149999999999997	6	2.0299999999999994	4	0.9599999999999991	1	2.0699999999999985	10	2.7399999999999842	1
